nama_produk,jenis_produk,harga_retail,harga_diskon,rating
Bells And Whistles Striped Round Neck Boy's Sweater,"[""Clothing >> Kids' Clothing >> Boys Wear >> Winter & Seasonal Wear >> Sweaters >> Bells And Whistles Sweaters""]",1099.0,659.0,5.0
Betty Girl's Maxi Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Betty Dresses""]",1995.0,1995.0,5.0
Cation Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",1400.0,499.0,3.0
Yepme Women Flats,"[""Footwear >> Women's Footwear >> Flats""]",399.0,199.0,3.0
Stilestreet Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Stilestreet Tops""]",699.0,449.0,4.0
Anaya Women Heels,"[""Footwear >> Women's Footwear >> Heels""]",1699.0,699.0,4.8
Beebay Girl's A-line Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Beebay Dresses""]",895.0,399.0,4.0
Alibi Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Alibi Tops""]",699.0,417.0,2.0
The Vanca Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> The Vanca Tops""]",1299.0,571.0,3.0
Aaliya Festive Full Sleeve Self Design Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Aaliya Tops""]",1700.0,850.0,2.7
"Imported Banknote Tester, ball pen Permanent Alcohol Dye Base Marker","[""Pens & Stationery >> Office Supplies >> Sketch & Paint Markers >> Highlighter Pens >> Imported Highlighter Pens >> Imported Banknote Tester, ball pen Permanent Alc...""]",800.0,280.0,5.0
Autofurnish Car Cover For Santro Xing,"[""Automotive >> Accessories & Spare parts >> Car & Bike Care >> Car & Bike Covers >> Car Body Covers >> Autofurnish Car Cover For Santro Xing""]",1530.0,437.0,2.4
INDIANO Loafers,"[""Footwear >> Women's Footwear >> Casual Shoes >> Loafers >> INDIANO Loafers""]",1199.0,649.0,5.0
Rainfun Car Cover For 800,"[""Automotive >> Accessories & Spare parts >> Car & Bike Care >> Car & Bike Covers >> Car Body Covers >> Rainfun Car Cover For 800 (Without Mirror Pockets)""]",1799.0,599.0,3.3
Adidas Solid Men's Track Top,"[""Clothing >> Men's Clothing >> Sports Wear >> Track Tops >> Adidas Track Tops >> Adidas Solid Men's Track Top""]",2999.0,1949.0,1.0
Prime Printed 6 Seater Table Cover,"[""Home Furnishing >> Kitchen & Dining Linen >> Table Covers >> Prime Printed 6 Seater Table Cover (Multicolor, ...""]",1800.0,849.0,5.0
Prime Printed 8 Seater Table Cover,"[""Home Furnishing >> Kitchen & Dining Linen >> Table Covers >> Prime Printed 8 Seater Table Cover (Multicolor, ...""]",2000.0,899.0,5.0
Speedo Men's Swimsuit,"[""Clothing >> Men's Clothing >> Sports Wear >> Swimsuit & Swimwear >> Speedo Swimsuit & Swimwear >> Speedo Men's Swimsuit""]",699.0,699.0,4.0
Spangel Fashion Audi Style Alloy Mangalsutra,"[""Jewellery >> Mangalsutras & Tanmaniyas >> Spangel Fashion Audi Style Alloy Mangalsutra""]",1599.0,549.0,5.0
